datetime,timestamp,temperature,humidity,light,moisture,flame_detected,system_state
26/11/2025 16:09,1764148188,30.6,56.9,100,69,0,Normal
26/11/2025 16:14,1764148488,31,55.9,100,68.8,0,Normal
26/11/2025 16:19,1764148788,30.2,59.3,100,68.7,0,Normal
26/11/2025 16:24,1764149088,29.9,59.2,100,68.2,0,Normal
26/11/2025 16:29,1764149388,30.1,58.3,100,68,0,Normal
26/11/2025 16:34,1764149688,29.2,60.2,100,67.6,0,Normal
26/11/2025 16:39,1764149988,28.8,63.1,100,67.4,0,Normal
26/11/2025 16:44,1764150288,28.6,63.4,100,67.3,0,Normal
26/11/2025 16:49,1764150588,28.8,63.4,100,66.8,0,Normal
26/11/2025 16:54,1764150888,28.4,63.2,100,66.5,0,Normal
26/11/2025 16:59,1764151188,28.3,64.2,100,66,0,Normal
26/11/2025 17:04,1764151488,27.7,64.8,100,65.8,0,Normal
26/11/2025 17:09,1764151788,27.1,68.4,100,65.6,0,Normal
26/11/2025 17:14,1764152088,27.4,68.8,100,65.4,0,Normal
26/11/2025 17:19,1764152388,26.7,68.4,100,65.1,0,Normal
26/11/2025 17:24,1764152688,27.3,66.9,100,65,0,Normal
26/11/2025 17:29,1764152988,27.1,68,100,64.8,0,Normal
26/11/2025 17:34,1764153288,26.4,71,100,64.6,0,Normal
26/11/2025 17:39,1764153588,25.9,73,100,64.1,0,Normal
26/11/2025 17:44,1764153888,26.1,70.6,100,63.8,0,Normal
26/11/2025 17:49,1764154188,26,72.6,100,63.3,0,Normal
26/11/2025 17:54,1764154488,25.4,72.3,100,63.2,0,Normal
26/11/2025 17:59,1764154788,25.1,72,52,62.8,0,Normal
26/11/2025 18:04,1764155088,25.5,70.9,4,62.6,0,Normal
26/11/2025 18:09,1764155388,25.1,74.5,43,62.1,0,Normal
26/11/2025 18:14,1764155688,24.8,75,43,62,0,Normal
26/11/2025 18:19,1764155988,24.9,76.5,4,61.7,0,Normal
26/11/2025 18:24,1764156288,25.4,72.8,2,61.3,0,Normal
26/11/2025 18:29,1764156588,24.4,74.9,46,61,0,Normal
26/11/2025 18:34,1764156888,24.3,76.8,11,60.6,0,Normal
26/11/2025 18:39,1764157188,24.6,73.9,45,60.2,0,Normal
26/11/2025 18:44,1764157488,23.3,80.1,19,59.8,0,Normal
26/11/2025 18:49,1764157788,24.2,74.7,29,59.7,0,Normal
26/11/2025 18:54,1764158088,23.3,77.7,26,59.2,0,Normal
26/11/2025 18:59,1764158388,23.1,79.5,43,58.8,0,Normal
26/11/2025 19:04,1764158688,22.8,80,42,58.7,0,Normal
26/11/2025 19:09,1764158988,22.9,80.3,37,58.4,0,Normal
26/11/2025 19:14,1764159288,22.9,79,20,58,0,Normal
26/11/2025 19:19,1764159588,22.7,80.3,31,57.7,0,Normal
26/11/2025 19:24,1764159888,22.7,79.9,13,57.3,0,Normal
26/11/2025 19:29,1764160188,22.6,82,27,57,0,Normal
26/11/2025 19:34,1764160488,22.9,82.4,30,56.8,0,Normal
26/11/2025 19:39,1764160788,23.1,80.6,18,56.5,0,Normal
26/11/2025 19:44,1764161088,23.1,81.4,12,56.1,0,Normal
26/11/2025 19:49,1764161388,22.7,82.3,13,56,0,Normal
26/11/2025 19:54,1764161688,22.9,81.3,47,55.5,0,Normal
26/11/2025 19:59,1764161988,22.7,80.6,41,55.1,0,Normal
26/11/2025 20:04,1764162288,22.4,80.7,29,54.8,0,Normal
26/11/2025 20:09,1764162588,22,81.6,23,54.4,0,Normal
26/11/2025 20:14,1764162888,22.1,82.3,12,54.2,0,Normal
26/11/2025 20:19,1764163188,22.6,82.1,43,54,0,Normal
26/11/2025 20:24,1764163488,21.6,82.8,17,53.7,0,Normal
26/11/2025 20:29,1764163788,22,82,33,53.4,0,Normal
26/11/2025 20:34,1764164088,21.5,85.2,46,53.1,0,Normal
26/11/2025 20:39,1764164388,21.5,84.1,47,52.8,0,Normal
26/11/2025 20:44,1764164688,22.3,83.9,35,52.4,0,Normal
26/11/2025 20:49,1764164988,22,82.5,4,52.1,0,Normal
26/11/2025 20:54,1764165288,21.9,82,6,51.8,0,Normal
26/11/2025 20:59,1764165588,21.1,84.6,37,51.3,0,Normal
26/11/2025 21:04,1764165888,21.3,85.4,8,50.9,0,Normal
26/11/2025 21:09,1764166188,21.8,82.5,13,50.8,0,Normal
26/11/2025 21:14,1764166488,21.7,85.7,35,50.4,0,Normal
26/11/2025 21:19,1764166788,21.9,84,30,50.2,0,Normal
26/11/2025 21:24,1764167088,57.1,19.9,23,49.8,1,Fire Detected
26/11/2025 21:29,1764167388,67.3,16.5,37,49.3,1,Fire Detected
26/11/2025 21:34,1764167688,58.7,19.3,14,48.9,1,Fire Detected
26/11/2025 21:39,1764167988,62.1,17.4,14,48.6,1,Fire Detected
26/11/2025 21:44,1764168288,62.8,19.6,44,48.2,1,Fire Detected
26/11/2025 21:49,1764168588,63.4,19.7,33,48,1,Fire Detected
26/11/2025 21:54,1764168888,21.5,84.6,3,47.8,0,Normal
26/11/2025 21:59,1764169188,21.8,82.5,33,47.5,0,Normal
26/11/2025 22:04,1764169488,21.5,84,29,47.3,0,Normal
26/11/2025 22:09,1764169788,21.3,86.6,29,47,0,Normal
26/11/2025 22:14,1764170088,21.1,85.1,10,46.7,0,Normal
26/11/2025 22:19,1764170388,21.7,85.4,32,46.2,0,Normal
26/11/2025 22:24,1764170688,21.6,83.5,41,45.7,0,Normal
26/11/2025 22:29,1764170988,21.3,85,26,45.4,0,Normal
26/11/2025 22:34,1764171288,21.1,83.9,18,45,0,Normal
26/11/2025 22:39,1764171588,21,86.1,19,44.7,0,Normal
26/11/2025 22:44,1764171888,20.8,87.7,29,44.5,0,Normal
26/11/2025 22:49,1764172188,21.3,84.5,41,44,0,Normal
26/11/2025 22:54,1764172488,21.1,86,8,43.6,0,Normal
26/11/2025 22:59,1764172788,21.8,84.2,46,43.3,0,Normal
26/11/2025 23:04,1764173088,21.2,85.1,14,43,0,Normal
26/11/2025 23:09,1764173388,21.7,86.6,36,42.8,0,Normal
26/11/2025 23:14,1764173688,20.5,88.4,26,42.5,0,Normal
26/11/2025 23:19,1764173988,21.4,85.5,1,42.4,0,Normal
26/11/2025 23:24,1764174288,21.8,85.4,13,42.2,0,Normal
26/11/2025 23:29,1764174588,20.8,88.6,18,41.9,0,Normal
26/11/2025 23:34,1764174888,21.4,86.6,40,41.8,0,Normal
26/11/2025 23:39,1764175188,21.3,87.7,46,41.5,0,Normal
26/11/2025 23:44,1764175488,21.3,87,8,41.1,0,Normal
26/11/2025 23:49,1764175788,21.7,87.2,1,40.9,0,Normal
26/11/2025 23:54,1764176088,21.1,87.7,28,40.7,0,Normal
26/11/2025 23:59,1764176388,20.3,89.5,44,40.5,0,Normal
27/11/2025 0:04,1764176688,21.2,87.4,6,40.3,0,Normal
27/11/2025 0:09,1764176988,21.2,87.4,21,40.1,0,Normal
27/11/2025 0:14,1764177288,21.1,86.9,8,39.9,0,Normal
27/11/2025 0:19,1764177588,21,86.7,1,39.6,0,Normal
27/11/2025 0:24,1764177888,20.8,86.9,45,39.4,0,Normal
27/11/2025 0:29,1764178188,21,86.7,46,39.2,0,Normal
27/11/2025 0:34,1764178488,21.1,87.8,30,38.9,0,Normal
27/11/2025 0:39,1764178788,20.5,88.4,19,38.7,0,Normal
27/11/2025 0:44,1764179088,21,86,30,38.4,0,Normal
27/11/2025 0:49,1764179388,20.9,88.5,8,38.3,0,Normal
27/11/2025 0:54,1764179688,20.6,88,43,38.1,0,Normal
27/11/2025 0:59,1764179988,20.8,88.4,29,37.6,0,Normal
27/11/2025 1:04,1764180288,20.7,87.8,32,37.3,0,Normal
27/11/2025 1:09,1764180588,20.8,88.5,41,36.9,0,Normal
27/11/2025 1:14,1764180888,20.7,89.5,45,36.8,0,Normal
27/11/2025 1:19,1764181188,20.4,87.4,2,36.4,0,Normal
27/11/2025 1:24,1764181488,20.5,87,22,36.1,0,Normal
27/11/2025 1:29,1764181788,21.4,87.3,10,35.9,0,Normal
27/11/2025 1:34,1764182088,20.5,88.4,16,35.8,0,Normal
27/11/2025 1:39,1764182388,20.6,87.9,8,35.5,0,Normal
27/11/2025 1:44,1764182688,20.4,89.6,44,35.1,0,Normal
27/11/2025 1:49,1764182988,21,86.7,29,34.8,0,Normal
27/11/2025 1:54,1764183288,21,86.6,21,34.4,0,Normal
27/11/2025 1:59,1764183588,21.1,86.8,42,34.3,0,Normal
27/11/2025 2:04,1764183888,20.9,88.1,28,34,0,Normal
27/11/2025 2:09,1764184188,20.2,90.3,31,33.8,0,Normal
27/11/2025 2:14,1764184488,20.1,88.9,23,33.5,0,Normal
27/11/2025 2:19,1764184788,20.9,86.1,22,33.2,0,Normal
27/11/2025 2:24,1764185088,20.8,87.6,35,32.7,0,Normal
27/11/2025 2:29,1764185388,20.9,86.3,27,32.4,0,Normal
27/11/2025 2:34,1764185688,20.6,89.1,23,32.1,0,Normal
27/11/2025 2:39,1764185988,21.2,87.3,35,31.7,0,Normal
27/11/2025 2:44,1764186288,20.3,87.8,43,31.4,0,Normal
27/11/2025 2:49,1764186588,20.3,89.6,40,31,0,Normal
27/11/2025 2:54,1764186888,20.6,88.1,3,30.8,0,Normal
27/11/2025 2:59,1764187188,20.3,87.7,28,30.4,0,Normal
27/11/2025 3:04,1764187488,20.7,87.6,18,30.2,0,Normal
27/11/2025 3:09,1764187788,20.5,88.7,42,29.9,0,Dry Soil
27/11/2025 3:14,1764188088,20.7,87.9,13,29.8,0,Dry Soil
27/11/2025 3:19,1764188388,20.7,86.7,33,29.4,0,Dry Soil
27/11/2025 3:24,1764188688,20.8,88.9,34,29.1,0,Dry Soil
27/11/2025 3:29,1764188988,20.4,87.5,10,28.8,0,Dry Soil
27/11/2025 3:34,1764189288,20.3,88.4,18,28.7,0,Dry Soil
27/11/2025 3:39,1764189588,20.4,89.4,3,28.4,0,Dry Soil
27/11/2025 3:44,1764189888,20.7,86.5,41,83.9,0,Normal
27/11/2025 3:49,1764190188,20.9,85.6,26,83.7,0,Normal
27/11/2025 3:54,1764190488,21.5,86.2,33,83.3,0,Normal
27/11/2025 3:59,1764190788,21.5,85.1,19,83.1,0,Normal
27/11/2025 4:04,1764191088,21.3,86.3,27,82.8,0,Normal
27/11/2025 4:09,1764191388,20.8,86.6,5,82.4,0,Normal
27/11/2025 4:14,1764191688,21,86.4,18,82,0,Normal
27/11/2025 4:19,1764191988,20.4,88.8,36,81.6,0,Normal
27/11/2025 4:24,1764192288,20.4,89,30,81.4,0,Normal
27/11/2025 4:29,1764192588,21,86.4,37,81.2,0,Normal
27/11/2025 4:34,1764192888,20.7,86.5,1,80.7,0,Normal
27/11/2025 4:39,1764193188,21.3,86.5,11,80.4,0,Normal
27/11/2025 4:44,1764193488,21.8,85.8,35,80.1,0,Normal
27/11/2025 4:49,1764193788,21.7,84,5,79.9,0,Normal
27/11/2025 4:54,1764194088,21.9,85.1,14,79.5,0,Normal
27/11/2025 4:59,1764194388,21.9,83.2,1,79,0,Normal
27/11/2025 5:04,1764194688,22.1,84.4,2,78.8,0,Normal
27/11/2025 5:09,1764194988,22.6,83.1,44,78.3,0,Normal
27/11/2025 5:14,1764195288,22,82.4,12,78,0,Normal
27/11/2025 5:19,1764195588,22.6,82.4,26,77.7,0,Normal
27/11/2025 5:24,1764195888,21.9,83.8,49,77.3,0,Normal
27/11/2025 5:29,1764196188,22.3,82.9,23,76.9,0,Normal
27/11/2025 5:34,1764196488,22.2,83.9,46,76.6,0,Normal
27/11/2025 5:39,1764196788,23.3,82.1,46,76.2,0,Normal
27/11/2025 5:44,1764197088,22.7,80.6,44,75.9,0,Normal
27/11/2025 5:49,1764197388,22.8,81.4,24,75.4,0,Normal
27/11/2025 5:54,1764197688,23.6,80.7,30,75,0,Normal
27/11/2025 5:59,1764197988,22.7,82.7,46,74.7,0,Normal
27/11/2025 6:04,1764198288,23.1,81.7,118,74.2,0,Normal
27/11/2025 6:09,1764198588,23.6,79,175,73.8,0,Normal
27/11/2025 6:14,1764198888,23.1,80.2,165,73.4,0,Normal
27/11/2025 6:19,1764199188,23.3,81.3,272,72.9,0,Normal
27/11/2025 6:24,1764199488,23.5,80.3,293,72.8,0,Normal
27/11/2025 6:29,1764199788,24.3,77.7,341,72.5,0,Normal
27/11/2025 6:34,1764200088,24,77.6,392,72.2,0,Normal
27/11/2025 6:39,1764200388,23.8,77.5,417,71.8,0,Normal
27/11/2025 6:44,1764200688,24.4,76.5,463,71.7,0,Normal
27/11/2025 6:49,1764200988,24.5,76.3,506,71.4,0,Normal
27/11/2025 6:54,1764201288,24.4,78.2,568,71.2,0,Normal
27/11/2025 6:59,1764201588,24.4,77.4,601,70.9,0,Normal
27/11/2025 7:04,1764201888,24.1,77.3,612,70.8,0,Normal
27/11/2025 7:09,1764202188,25.2,74.9,647,70.6,0,Normal
27/11/2025 7:14,1764202488,25.4,72.2,698,70.4,0,Normal
27/11/2025 7:19,1764202788,25.3,73,735,70.1,0,Normal
27/11/2025 7:24,1764203088,25.2,74.8,756,69.9,0,Normal
27/11/2025 7:29,1764203388,26.5,70.6,804,69.7,0,Normal
27/11/2025 7:34,1764203688,26.4,70.8,843,69.5,0,Normal
27/11/2025 7:39,1764203988,25.6,73.7,858,69.1,0,Normal
27/11/2025 7:44,1764204288,25.6,72.5,934,68.8,0,Normal
27/11/2025 7:49,1764204588,26.7,70.2,909,68.5,0,Normal
27/11/2025 7:54,1764204888,26,72.3,959,68.2,0,Normal
27/11/2025 7:59,1764205188,27.1,68.6,975,68,0,Normal
27/11/2025 8:04,1764205488,26.5,69,996,67.6,0,Normal
27/11/2025 8:09,1764205788,27.1,68.4,1051,67.2,0,Normal
27/11/2025 8:14,1764206088,27.3,66.8,1035,66.9,0,Normal
27/11/2025 8:19,1764206388,27.1,68.4,1077,66.5,0,Normal
27/11/2025 8:24,1764206688,27,69,1072,66.3,0,Normal
27/11/2025 8:29,1764206988,26.8,70.3,1134,66,0,Normal
27/11/2025 8:34,1764207288,28.5,63.1,1147,65.7,0,Normal
27/11/2025 8:39,1764207588,28.7,64.2,1184,65.3,0,Normal
27/11/2025 8:44,1764207888,28.2,64.4,1202,64.9,0,Normal
27/11/2025 8:49,1764208188,28.2,64.2,1176,64.6,0,Normal
27/11/2025 8:54,1764208488,28.2,65.2,1260,64.3,0,Normal
27/11/2025 8:59,1764208788,29.4,59.3,1219,64.2,0,Normal
27/11/2025 9:04,1764209088,29.4,59.8,1242,63.9,0,Normal
27/11/2025 9:09,1764209388,28.5,64.9,1322,63.7,0,Normal
27/11/2025 9:14,1764209688,29.8,59.6,1312,63.4,0,Normal
27/11/2025 9:19,1764209988,29,63.8,1363,63.1,0,Normal
27/11/2025 9:24,1764210288,29.6,60.8,1314,62.8,0,Normal
27/11/2025 9:29,1764210588,30.3,58.8,1399,62.6,0,Normal
27/11/2025 9:34,1764210888,29.2,60.4,1422,62.3,0,Normal
27/11/2025 9:39,1764211188,30.4,58.8,1427,62.1,0,Normal
27/11/2025 9:44,1764211488,30.3,58.3,1427,61.6,0,Normal
27/11/2025 9:49,1764211788,30.3,58.9,1451,61.4,0,Normal
27/11/2025 9:54,1764212088,30.2,59.8,1460,61,0,Normal
27/11/2025 9:59,1764212388,30.8,55.9,1505,60.8,0,Normal
27/11/2025 10:04,1764212688,31.2,55,1473,60.4,0,Normal
27/11/2025 10:09,1764212988,31.7,53,1523,60,0,Normal
27/11/2025 10:14,1764213288,30.6,58.3,1515,59.7,0,Normal
27/11/2025 10:19,1764213588,31,56.4,1564,59.4,0,Normal
27/11/2025 10:24,1764213888,31.6,54.1,1545,59.2,0,Normal
27/11/2025 10:29,1764214188,31.7,53.4,1535,59.1,0,Normal
27/11/2025 10:34,1764214488,31,55.1,1551,58.7,0,Normal
27/11/2025 10:39,1764214788,31.3,55.3,1617,58.4,0,Normal
27/11/2025 10:44,1764215088,31.9,54.2,1596,58,0,Normal
27/11/2025 10:49,1764215388,32.7,50.1,1572,57.7,0,Normal
27/11/2025 10:54,1764215688,32.3,51.8,1542,57.4,0,Normal
27/11/2025 10:59,1764215988,32.4,52.2,1562,57,0,Normal
27/11/2025 11:04,1764216288,33,50.9,1574,56.7,0,Normal
27/11/2025 11:09,1764216588,31.7,54.8,1572,56.4,0,Normal
27/11/2025 11:14,1764216888,31.9,53,1578,56,0,Normal
27/11/2025 11:19,1764217188,32.1,52.6,1553,55.6,0,Normal
27/11/2025 11:24,1764217488,33.2,49.1,1553,55.3,0,Normal
27/11/2025 11:29,1764217788,32.8,51.1,1515,55.2,0,Normal
27/11/2025 11:34,1764218088,32.4,52.5,1487,54.7,0,Normal
27/11/2025 11:39,1764218388,32.8,50.1,1467,54.4,0,Normal
27/11/2025 11:44,1764218688,32.8,50.9,1444,54.1,0,Normal
27/11/2025 11:49,1764218988,32.8,50.6,1398,53.7,0,Normal
27/11/2025 11:54,1764219288,32.6,50.2,1380,53.4,0,Normal
27/11/2025 11:59,1764219588,32.8,50.7,1368,52.9,0,Normal
27/11/2025 12:04,1764219888,32.2,52.4,1316,52.6,0,Normal
27/11/2025 12:09,1764220188,32.7,51.2,1276,52.3,0,Normal
27/11/2025 12:14,1764220488,32.3,51.7,1263,52.1,0,Normal
27/11/2025 12:19,1764220788,32.7,51.6,1225,51.9,0,Normal
27/11/2025 12:24,1764221088,32.7,51.2,1184,51.5,0,Normal
27/11/2025 12:29,1764221388,32.1,51.7,1121,51.1,0,Normal
27/11/2025 12:34,1764221688,31.7,55,1093,50.7,0,Normal
27/11/2025 12:39,1764221988,31.9,53.2,1069,50.4,0,Normal
27/11/2025 12:44,1764222288,31.7,54.9,985,50.3,0,Normal
27/11/2025 12:49,1764222588,31.9,53.3,962,50.2,0,Normal
27/11/2025 12:54,1764222888,30.3,58.7,901,49.9,0,Normal
27/11/2025 12:59,1764223188,31,55.9,856,49.8,0,Normal
27/11/2025 13:04,1764223488,30.6,56.5,807,49.5,0,Normal
27/11/2025 13:09,1764223788,30.6,56.3,778,49.2,0,Normal
27/11/2025 13:14,1764224088,29.9,60.2,746,48.8,0,Normal
27/11/2025 13:19,1764224388,29.4,60.6,676,48.5,0,Normal
27/11/2025 13:24,1764224688,29.6,58.9,641,48.3,0,Normal
27/11/2025 13:29,1764224988,29,61.7,571,48,0,Normal
27/11/2025 13:34,1764225288,29.7,59.3,556,47.7,0,Normal
27/11/2025 13:39,1764225588,28.8,61.9,500,47.3,0,Normal
27/11/2025 13:44,1764225888,28.9,63.1,458,47.2,0,Normal
27/11/2025 13:49,1764226188,27.8,65.3,391,46.9,0,Normal
27/11/2025 13:54,1764226488,28.6,64.2,357,46.7,0,Normal
27/11/2025 13:59,1764226788,28.7,64.2,309,46.3,0,Normal
27/11/2025 14:04,1764227088,28.1,64.9,255,45.9,0,Normal
27/11/2025 14:09,1764227388,27.9,64.8,211,45.8,0,Normal
27/11/2025 14:14,1764227688,27,67.6,183,45.4,0,Normal
27/11/2025 14:19,1764227988,27.4,67.3,132,45,0,Normal
27/11/2025 14:24,1764228288,27.2,67.5,100,44.8,0,Normal
27/11/2025 14:29,1764228588,26.7,67.9,100,44.7,0,Normal
27/11/2025 14:34,1764228888,26.4,70.5,100,44.4,0,Normal
27/11/2025 14:39,1764229188,25.4,72.4,100,44.3,0,Normal
27/11/2025 14:44,1764229488,25.8,71.1,100,44.2,0,Normal
27/11/2025 14:49,1764229788,25.9,71.7,100,44,0,Normal
27/11/2025 14:54,1764230088,26,72.3,100,43.6,0,Normal
27/11/2025 14:59,1764230388,25.2,74.7,100,43.3,0,Normal
